Date,ZHVI_MiddleTier,InventorySeasonallyAdjusted_AllHomes
2010-01-31,335100.0,138652.0
2010-02-28,336500.0,137666.0
2010-03-31,336300.0,138106.0
2010-04-30,336600.0,138131.0
2010-05-31,336500.0,136449.0
2010-06-30,335700.0,136017.0
2010-07-31,334300.0,136721.0
2010-08-31,332600.0,138105.0
2010-09-30,330800.0,141259.0
2010-10-31,329000.0,144933.0
2010-11-30,327300.0,148224.0
2010-12-31,325600.0,150299.0
2011-01-31,323700.0,150872.0
2011-02-28,321900.0,154410.0
2011-03-31,320000.0,159519.0
2011-04-30,317600.0,159583.0
2011-05-31,315600.0,156823.0
2011-06-30,313900.0,156158.0
2011-07-31,311600.0,156540.0
2011-08-31,309200.0,154437.0
2011-09-30,307600.0,150176.0
2011-10-31,306400.0,146926.0
2011-11-30,305400.0,144843.0
2011-12-31,304600.0,141340.0
2012-01-31,304200.0,136108.0
2012-02-29,304300.0,128884.0
2012-03-31,304900.0,118729.0
2012-04-30,306100.0,109566.0
2012-05-31,308000.0,103546.0
2012-06-30,310300.0,97376.0
2012-07-31,313000.0,90517.0
2012-08-31,315900.0,85236.0
2012-09-30,318600.0,80940.0
2012-10-31,321300.0,76522.0
2012-11-30,324900.0,73336.0
2012-12-31,329100.0,71995.0
2013-01-31,333000.0,71656.0
2013-02-28,337500.0,71148.0
2013-03-31,343600.0,70022.0
2013-04-30,350800.0,69047.0
2013-05-31,358300.0,67938.0
2013-06-30,365900.0,65781.0
2013-07-31,373100.0,64721.0
2013-08-31,379400.0,66242.0
2013-09-30,384600.0,68124.0
2013-10-31,389000.0,69251.0
2013-11-30,392500.0,70327.0
2013-12-31,395100.0,71512.0
2014-01-31,397600.0,72514.0
2014-02-28,400400.0,73914.0
2014-03-31,403400.0,76319.0
2014-04-30,406100.0,79265.0
2014-05-31,408700.0,81917.0
2014-06-30,411000.0,83998.0
2014-07-31,413100.0,84660.0
2014-08-31,415200.0,84076.0
2014-09-30,417300.0,84184.0
2014-10-31,419300.0,84796.0
2014-11-30,420900.0,84096.0
2014-12-31,422500.0,82331.0
2015-01-31,424200.0,80616.0
2015-02-28,426400.0,78528.0
2015-03-31,429000.0,77081.0
2015-04-30,431700.0,77667.0
2015-05-31,434300.0,79012.0
2015-06-30,436700.0,79734.0
2015-07-31,439300.0,79835.0
2015-08-31,441900.0,79618.0
2015-09-30,444600.0,79107.0
2015-10-31,446900.0,78098.0
2015-11-30,449300.0,76408.0
2015-12-31,451500.0,73669.0
2016-01-31,453700.0,71151.0
2016-02-29,456500.0,70943.0
2016-03-31,459600.0,72696.0
2016-04-30,462300.0,74689.0
2016-05-31,464300.0,76005.0
2016-06-30,467200.0,77835.0
2016-07-31,470400.0,79997.0
2016-08-31,473000.0,79785.0
2016-09-30,475400.0,77377.0
2016-10-31,478500.0,74744.0
2016-11-30,481700.0,72261.0
2016-12-31,484600.0,70298.0
2017-01-31,487400.0,69099.0
2017-02-28,490500.0,67673.0
2017-03-31,494300.0,65735.0
2017-04-30,498100.0,64427.0
2017-05-31,501700.0,63661.0
2017-06-30,504600.0,61910.0
2017-07-31,507100.0,59548.0
2017-08-31,509900.0,58275.0
2017-09-30,513000.0,57916.0
2017-10-31,516500.0,57340.0
2017-11-30,520500.0,56736.0
2017-12-31,524000.0,56537.0
