Model,MAE,RMSE,MAPE
Last Known Value,3085.0,3125.1399968641404,0.6243888189566014
Mean (train),125495.52631578951,126793.14019408547,25.348155502762037
Naïve Seasonal (lag-12),34550.0,34681.580125478715,6.993455614792686
Drift,410.0,474.3416490252569,0.08360278639687481
"ARIMA(1,2,1)",402.9683782026521,470.5934689683605,0.08216038708079461
"ARIMA(2,2,1)",402.30725540436106,469.8901578858754,0.08201322681543691
"ARIMA(1,2,1)+NaiveSeasonal",12833.581336081359,19761.334201283054,2.509512260365127
"SARIMA(1,2,1)(1,1,1,12)",458.44323745961884,635.9866033162548,0.09392375162430638
"SARIMA(1,2,1)(0,1,1,12)",499.25071511621644,669.5435748444976,0.10184657199139993
"SARIMAX(1,2,1)(1,1,1,12)",455.98665377355354,628.2566203493857,0.09345750043760673
"ARIMAX(1,2,1)",403.6427200754435,505.913355581461,0.08265503809717188
AutoARIMA (no seasonality),365.49670495105386,455.7365634417441,0.07456003459362634
AutoARIMA (seasonal m=12),534.3083955757932,601.3946651898519,0.10833092945959798
Chronos T5-Small,10945.64375,15414.907548129597,2.148323929571026
